selected_market,rows,share_total,share_selected,correct_rows,error_rows,accuracy,avg_confidence
STRICT_1X2,276,0.14175654853620956,0.24511545293072823,251,25,0.9094202898550725,0.8432307644927537
DOUBLE_CHANCE,793,0.40729327170005136,0.7042628774422736,714,79,0.9003783102143758,0.9091547313997479
OVER_1_5,23,0.011813045711350795,0.020426287744227355,21,2,0.9130434782608695,0.8171570869565217
OVER_2_5,33,0.01694915254237288,0.02930728241563055,22,11,0.6666666666666666,0.7094826060606061
BTTS,1,0.0005136106831022085,0.0008880994671403197,1,0,1.0,0.776186
ABSTAIN,821,0.4216743708269132,0.0,0,0,,
