selected_market,rows,share_total,share_selected,correct_rows,error_rows,accuracy,avg_confidence
STRICT_1X2,236,0.12121212121212122,0.2559652928416486,215,21,0.9110169491525424,0.8557053389830509
DOUBLE_CHANCE,618,0.31741140215716485,0.6702819956616052,570,48,0.9223300970873787,0.9264576844660194
OVER_1_5,4,0.002054442732408834,0.004338394793926247,4,0,1.0,0.8213655
OVER_2_5,60,0.030816640986132512,0.0650759219088937,39,21,0.65,0.7260904833333334
BTTS,4,0.002054442732408834,0.004338394793926247,3,1,0.75,0.7367587500000001
ABSTAIN,1025,0.5264509501797637,0.0,0,0,,
