selected_market,rows,share_total,share_selected,correct_rows,error_rows,accuracy,avg_confidence
STRICT_1X2,199,0.10220852593733949,0.1778373547810545,186,13,0.9346733668341709,0.868120025125628
DOUBLE_CHANCE,859,0.44119157678479715,0.7676496872207328,778,81,0.9057043073341094,0.9132819860302677
OVER_1_5,27,0.01386748844375963,0.024128686327077747,25,2,0.9259259259259259,0.8268999999999999
OVER_2_5,22,0.011299435028248588,0.01966041108132261,17,5,0.7727272727272727,0.7278831818181818
BTTS,12,0.0061633281972265025,0.010723860589812333,9,3,0.75,0.7185370000000001
ABSTAIN,828,0.4252696456086287,0.0,0,0,,
